vehicle_id,time,stop_lon,stop_lat
1,57600,-73.667207,45.555819
1,57605,-73.66720702,45.55581902
1,57610,-73.66720703,45.55581903
1,57615,-73.66720705,45.55581905
1,57620,-73.66720707,45.55581907
1,57625,-73.66720708,45.55581908
1,57630,-73.6672071,45.5558191
1,57635,-73.66720712,45.55581912
1,57640,-73.66720713,45.55581913
1,57645,-73.66720715,45.55581915
1,57650,-73.66720717,45.55581917
1,57655,-73.66720718,45.55581918
1,57660,-73.6672072,45.5558192
1,57665,-73.66720722,45.55581922
1,57670,-73.66720723,45.55581923
1,57675,-73.66720725,45.55581925
1,57680,-73.66720727,45.55581927
1,57685,-73.66720728,45.55581928
1,57690,-73.6672073,45.5558193
1,57695,-73.66720732,45.55581932
1,57700,-73.66720733,45.55581933
1,57705,-73.66720735,45.55581935
1,57710,-73.66720737,45.55581937
1,57715,-73.66720738,45.55581938
1,57720,-73.6672074,45.5558194
1,57725,-73.66720742,45.55581942
1,57730,-73.66720743,45.55581943
1,57735,-73.66720745,45.55581945
1,57740,-73.66720747,45.55581947
1,57745,-73.66720748,45.55581948
1,57750,-73.6672075,45.5558195
1,57755,-73.66720752,45.55581952
1,57760,-73.66720753,45.55581953
1,57765,-73.66720755,45.55581955
1,57770,-73.66720757,45.55581957
1,57775,-73.66720758,45.55581958
1,57780,-73.6672076,45.5558196
1,57785,-73.66720762,45.55581962
1,57790,-73.66720763,45.55581963
1,57795,-73.66720765,45.55581965
1,57800,-73.66720767,45.55581967
1,57805,-73.66720768,45.55581968
1,57810,-73.6672077,45.5558197
1,57815,-73.66720772,45.55581972
1,57820,-73.66720773,45.55581973
1,57825,-73.66720775,45.55581975
1,57830,-73.66720777,45.55581977
1,57835,-73.66720778,45.55581978
1,57840,-73.6672078,45.5558198
1,57845,-73.66720782,45.55581982
1,57850,-73.66720783,45.55581983
1,57855,-73.66720785,45.55581985
1,57860,-73.66720787,45.55581987
1,57865,-73.66720788,45.55581988
1,57870,-73.6672079,45.5558199
1,57875,-73.66720792,45.55581992
1,57880,-73.66720793,45.55581993
1,57885,-73.66720795,45.55581995
1,57890,-73.66720797,45.55581997
1,57895,-73.66720798,45.55581998
1,57900,-73.667208,45.55582
1,57905,-73.66720802,45.55582002
1,57910,-73.66720803,45.55582003
1,57915,-73.66720805,45.55582005
1,57920,-73.66720807,45.55582007
1,57925,-73.66720808,45.55582008
1,57930,-73.6672081,45.5558201
1,57935,-73.66720812,45.55582012
1,57940,-73.66720813,45.55582013
1,57945,-73.66720815,45.55582015
1,57950,-73.66720817,45.55582017
1,57955,-73.66720818,45.55582018
1,57960,-73.6672082,45.5558202
1,57965,-73.66720822,45.55582022
1,57970,-73.66720823,45.55582023
1,57975,-73.66720825,45.55582025
1,57980,-73.66720827,45.55582027
1,57985,-73.66720828,45.55582028
1,57990,-73.6672083,45.5558203
1,57995,-73.66720832,45.55582032
1,58000,-73.66720833,45.55582033
1,58005,-73.66720835,45.55582035
1,58010,-73.66720837,45.55582037
1,58015,-73.66720838,45.55582038
1,58020,-73.6672084,45.5558204
1,58025,-73.66720842,45.55582042
1,58030,-73.66720843,45.55582043
1,58035,-73.66720845,45.55582045
1,58040,-73.66720847,45.55582047
1,58045,-73.66720848,45.55582048
1,58050,-73.6672085,45.5558205
1,58055,-73.66720852,45.55582052
1,58060,-73.66720853,45.55582053
1,58065,-73.66720855,45.55582055
1,58070,-73.66720857,45.55582057
1,58075,-73.66720858,45.55582058
1,58080,-73.6672086,45.5558206
1,58085,-73.66720862,45.55582062
1,58090,-73.66720863,45.55582063
1,58095,-73.66720865,45.55582065
1,58100,-73.66720867,45.55582067
1,58105,-73.66720868,45.55582068
1,58110,-73.6672087,45.5558207
1,58115,-73.66720872,45.55582072
1,58120,-73.66720873,45.55582073
1,58125,-73.66720875,45.55582075
1,58130,-73.66720877,45.55582077
1,58135,-73.66720878,45.55582078
1,58140,-73.6672088,45.5558208
1,58145,-73.66720882,45.55582082
1,58150,-73.66720883,45.55582083
1,58155,-73.66720885,45.55582085
1,58160,-73.66720887,45.55582087
1,58165,-73.66720888,45.55582088
1,58170,-73.6672089,45.5558209
1,58175,-73.66720892,45.55582092
1,58180,-73.66720893,45.55582093
1,58185,-73.66720895,45.55582095
1,58190,-73.66720897,45.55582097
1,58195,-73.66720898,45.55582098
1,58200,-73.667209,45.555821
1,58205,-73.667209,45.55582102
1,58210,-73.667209,45.55582103
1,58215,-73.667209,45.55582105
1,58220,-73.667209,45.55582107
1,58225,-73.667209,45.55582108
1,58230,-73.667209,45.5558211
1,58235,-73.667209,45.55582112
1,58240,-73.667209,45.55582113
1,58245,-73.667209,45.55582115
1,58250,-73.667209,45.55582117
1,58255,-73.667209,45.55582118
1,58260,-73.667209,45.5558212
1,58265,-73.667209,45.55582122
1,58270,-73.667209,45.55582123
1,58275,-73.667209,45.55582125
1,58280,-73.667209,45.55582127
1,58285,-73.667209,45.55582128
1,58290,-73.667209,45.5558213
1,58295,-73.667209,45.55582132
1,58300,-73.667209,45.55582133
1,58305,-73.667209,45.55582135
1,58310,-73.667209,45.55582137
1,58315,-73.667209,45.55582138
1,58320,-73.667209,45.5558214
1,58325,-73.667209,45.55582142
1,58330,-73.667209,45.55582143
1,58335,-73.667209,45.55582145
1,58340,-73.667209,45.55582147
1,58345,-73.667209,45.55582148
1,58350,-73.667209,45.5558215
1,58355,-73.667209,45.55582152
1,58360,-73.667209,45.55582153
1,58365,-73.667209,45.55582155
1,58370,-73.667209,45.55582157
1,58375,-73.667209,45.55582158
1,58380,-73.667209,45.5558216
1,58385,-73.667209,45.55582162
1,58390,-73.667209,45.55582163
1,58395,-73.667209,45.55582165
1,58400,-73.667209,45.55582167
1,58405,-73.667209,45.55582168
1,58410,-73.667209,45.5558217
1,58415,-73.667209,45.55582172
1,58420,-73.667209,45.55582173
1,58425,-73.667209,45.55582175
1,58430,-73.667209,45.55582177
1,58435,-73.667209,45.55582178
1,58440,-73.667209,45.5558218
1,58445,-73.667209,45.55582182
1,58450,-73.667209,45.55582183
1,58455,-73.667209,45.55582185
1,58460,-73.667209,45.55582187
1,58465,-73.667209,45.55582188
1,58470,-73.667209,45.5558219
1,58475,-73.667209,45.55582192
1,58480,-73.667209,45.55582193
1,58485,-73.667209,45.55582195
1,58490,-73.667209,45.55582197
1,58495,-73.667209,45.55582198
1,58500,-73.667209,45.555822
1,58505,-73.66720898,45.555822
1,58510,-73.66720897,45.555822
1,58515,-73.66720895,45.555822
1,58520,-73.66720893,45.555822
1,58525,-73.66720892,45.555822
1,58530,-73.6672089,45.555822
1,58535,-73.66720888,45.555822
1,58540,-73.66720887,45.555822
1,58545,-73.66720885,45.555822
1,58550,-73.66720883,45.555822
1,58555,-73.66720882,45.555822
1,58560,-73.6672088,45.555822
1,58565,-73.66720878,45.555822
1,58570,-73.66720877,45.555822
1,58575,-73.66720875,45.555822
1,58580,-73.66720873,45.555822
1,58585,-73.66720872,45.555822
1,58590,-73.6672087,45.555822
1,58595,-73.66720868,45.555822
1,58600,-73.66720867,45.555822
1,58605,-73.66720865,45.555822
1,58610,-73.66720863,45.555822
1,58615,-73.66720862,45.555822
1,58620,-73.6672086,45.555822
1,58625,-73.66720858,45.555822
1,58630,-73.66720857,45.555822
1,58635,-73.66720855,45.555822
1,58640,-73.66720853,45.555822
1,58645,-73.66720852,45.555822
1,58650,-73.6672085,45.555822
1,58655,-73.66720848,45.555822
1,58660,-73.66720847,45.555822
1,58665,-73.66720845,45.555822
1,58670,-73.66720843,45.555822
1,58675,-73.66720842,45.555822
1,58680,-73.6672084,45.555822
1,58685,-73.66720838,45.555822
1,58690,-73.66720837,45.555822
1,58695,-73.66720835,45.555822
1,58700,-73.66720833,45.555822
1,58705,-73.66720832,45.555822
1,58710,-73.6672083,45.555822
1,58715,-73.66720828,45.555822
1,58720,-73.66720827,45.555822
1,58725,-73.66720825,45.555822
1,58730,-73.66720823,45.555822
1,58735,-73.66720822,45.555822
1,58740,-73.6672082,45.555822
1,58745,-73.66720818,45.555822
1,58750,-73.66720817,45.555822
1,58755,-73.66720815,45.555822
1,58760,-73.66720813,45.555822
1,58765,-73.66720812,45.555822
1,58770,-73.6672081,45.555822
1,58775,-73.66720808,45.555822
1,58780,-73.66720807,45.555822
1,58785,-73.66720805,45.555822
1,58790,-73.66720803,45.555822
1,58795,-73.66720802,45.555822
1,58800,-73.667208,45.555822
1,58805,-73.66720803,45.55582203
1,58810,-73.66720807,45.55582207
1,58815,-73.6672081,45.5558221
1,58820,-73.66720813,45.55582213
1,58825,-73.66720817,45.55582217
1,58830,-73.6672082,45.5558222
