trip_id,time,stop_lon,stop_lat
1,57600,-73.667207,45.555819
1,57605,-73.66720701666667,45.55581901666667
1,57610,-73.66720703333334,45.555819033333336
1,57615,-73.66720705,45.55581905
1,57620,-73.66720706666668,45.555819066666665
1,57625,-73.66720708333334,45.55581908333333
1,57630,-73.6672071,45.5558191
1,57635,-73.66720711666667,45.55581911666667
1,57640,-73.66720713333333,45.55581913333333
1,57645,-73.66720715000001,45.55581915
1,57650,-73.66720716666667,45.555819166666666
1,57655,-73.66720718333333,45.555819183333334
1,57660,-73.66720720000001,45.5558192
1,57665,-73.66720721666667,45.55581921666666
1,57670,-73.66720723333334,45.55581923333333
1,57675,-73.66720725,45.55581925
1,57680,-73.66720726666667,45.55581926666667
1,57685,-73.66720728333334,45.555819283333335
1,57690,-73.6672073,45.555819299999996
1,57695,-73.66720731666668,45.555819316666664
1,57700,-73.66720733333334,45.55581933333333
1,57705,-73.66720735,45.55581935
1,57710,-73.66720736666667,45.55581936666667
1,57715,-73.66720738333333,45.55581938333333
1,57720,-73.66720740000001,45.5558194
1,57725,-73.66720741666667,45.555819416666665
1,57730,-73.66720743333333,45.55581943333333
1,57735,-73.66720745,45.55581945
1,57740,-73.66720746666667,45.55581946666666
1,57745,-73.66720748333334,45.55581948333333
1,57750,-73.6672075,45.5558195
1,57755,-73.66720751666666,45.555819516666666
1,57760,-73.66720753333334,45.555819533333334
1,57765,-73.66720755,45.555819549999995
1,57770,-73.66720756666668,45.55581956666666
1,57775,-73.66720758333334,45.55581958333333
1,57780,-73.6672076,45.5558196
1,57785,-73.66720761666667,45.55581961666667
1,57790,-73.66720763333333,45.55581963333333
1,57795,-73.66720765000001,45.55581965
1,57800,-73.66720766666667,45.555819666666665
1,57805,-73.66720768333333,45.55581968333333
1,57810,-73.6672077,45.5558197
1,57815,-73.66720771666667,45.55581971666666
1,57820,-73.66720773333334,45.55581973333333
1,57825,-73.66720775,45.55581975
1,57830,-73.66720776666666,45.555819766666666
1,57835,-73.66720778333334,45.555819783333334
1,57840,-73.6672078,45.555819799999995
1,57845,-73.66720781666668,45.55581981666666
