trip_id,time,stop_lon,stop_lat
1,57600,-73.667207,45.555819
1,57630,-73.6672071,45.5558191
1,57660,-73.66720720000001,45.5558192
1,57690,-73.6672073,45.555819299999996
1,57720,-73.66720740000001,45.5558194
1,57750,-73.6672075,45.5558195
1,57780,-73.6672076,45.5558196
1,57810,-73.6672077,45.5558197
1,57840,-73.6672078,45.555819799999995
1,57870,-73.66720790000001,45.555819899999996
1,57900,-73.667208,45.55582
1,57930,-73.6672081,45.5558201
1,57960,-73.6672082,45.5558202
1,57990,-73.6672083,45.5558203
1,58020,-73.6672084,45.5558204
1,58050,-73.6672085,45.555820499999996
1,58080,-73.6672086,45.5558206
1,58110,-73.6672087,45.5558207
1,58140,-73.6672088,45.5558208
1,58170,-73.6672089,45.5558209
1,58200,-73.667209,45.555821
1,58230,-73.667209,45.5558211
1,58260,-73.667209,45.555821200000004
1,58290,-73.667209,45.5558213
1,58320,-73.667209,45.5558214
1,58350,-73.667209,45.5558215
1,58380,-73.667209,45.5558216
1,58410,-73.667209,45.5558217
1,58440,-73.667209,45.5558218
1,58470,-73.667209,45.5558219
1,58500,-73.667209,45.555822
1,58530,-73.6672089,45.555822
1,58560,-73.6672088,45.555822
1,58590,-73.6672087,45.555822
1,58620,-73.6672086,45.555822
1,58650,-73.6672085,45.555822
1,58680,-73.6672084,45.555822
1,58710,-73.6672083,45.555822
1,58740,-73.6672082,45.555822
1,58770,-73.6672081,45.555822
1,58800,-73.667208,45.555822
1,58830,-73.6672082,45.5558222
1,58860,-73.6672084,45.5558224
1,58890,-73.6672086,45.5558226
1,58920,-73.6672088,45.5558228
1,58950,-73.667209,45.555823000000004
1,58980,-73.6672092,45.5558232
1,59010,-73.6672094,45.5558234
1,59040,-73.66720959999999,45.555823600000004
1,59070,-73.6672098,45.5558238
1,59100,-73.66721,45.555824
1,59130,-73.66721,45.5558242
1,59160,-73.66721,45.5558244
1,59190,-73.66721,45.5558246
1,59220,-73.66721,45.5558248
1,59250,-73.66721,45.555825
1,59280,-73.66721,45.5558252
1,59310,-73.66721,45.5558254
1,59340,-73.66721,45.555825600000006
1,59370,-73.66721,45.5558258
1,59400,-73.66721,45.555826
2,58500,-73.667209,45.555821
2,58530,-73.6672091,45.5558215
2,58560,-73.6672092,45.555822
2,58590,-73.6672093,45.555822500000005
2,58620,-73.6672094,45.555823000000004
2,58650,-73.6672095,45.5558235
2,58680,-73.66720959999999,45.555824
2,58710,-73.6672097,45.5558245
2,58740,-73.6672098,45.555825000000006
2,58770,-73.6672099,45.555825500000005
2,58800,-73.66721,45.555826
2,58830,-73.667211,45.555826200000006
2,58860,-73.66721199999999,45.5558264
2,58890,-73.667213,45.5558266
2,58920,-73.667214,45.5558268
2,58950,-73.667215,45.555827
2,58980,-73.667216,45.5558272
2,59010,-73.667217,45.5558274
2,59040,-73.667218,45.5558276
2,59070,-73.667219,45.555827799999996
2,59100,-73.66722,45.555828
2,59130,-73.6672195,45.55582795
2,59160,-73.667219,45.5558279
2,59190,-73.6672185,45.55582785
2,59220,-73.667218,45.555827799999996
2,59250,-73.66721749999999,45.55582775
2,59280,-73.667217,45.5558277
2,59310,-73.6672165,45.55582765
2,59340,-73.667216,45.5558276
2,59370,-73.6672155,45.55582755
2,59400,-73.667215,45.5558275
